customer_id,company_name,is_active,churned_at,plan_tier,start_date,end_date,sessions,session_duration_sec,feature,date,churn_flag,total_duration,total_sessions,engagement_score,segment
1,Rush Platform,False,2024-02-26 10:13:36,free,2023-01-31,2023-04-20,2,4579,Feature_A,2025-09-16,1,18088,28,208.88,High
1,Rush Platform,False,2024-02-26 10:13:36,free,2023-01-31,2023-04-20,12,4465,Feature_B,2026-03-26,1,18088,28,208.88,High
1,Rush Platform,False,2024-02-26 10:13:36,professional,2023-04-20,2024-02-26,2,4579,Feature_A,2025-09-16,1,18088,28,208.88,High
1,Rush Platform,False,2024-02-26 10:13:36,professional,2023-04-20,2024-02-26,12,4465,Feature_B,2026-03-26,1,18088,28,208.88,High
2,TrekStack,True,,free,2023-06-09,,1,1640,Feature_C,2024-06-10,0,1812,45,63.120000000000005,Low
2,TrekStack,True,,free,2023-06-09,,44,172,Feature_B,2024-07-26,0,1812,45,63.120000000000005,Low
4,KeenSoftware,True,,free,2024-04-09,2024-08-10,5,4038,Feature_A,2026-03-05,0,8076,10,90.76,Medium
4,KeenSoftware,True,,enterprise,2024-08-10,,5,4038,Feature_A,2026-03-05,0,8076,10,90.76,Medium
5,QuestAnalytics,True,,free,2023-10-04,2024-10-01,15,2811,Feature_C,2024-12-07,0,13838,118,256.38,High
5,QuestAnalytics,True,,free,2023-10-04,2024-10-01,44,4108,Feature_C,2026-04-29,0,13838,118,256.38,High
5,QuestAnalytics,True,,starter,2024-10-01,,15,2811,Feature_C,2024-12-07,0,13838,118,256.38,High
5,QuestAnalytics,True,,starter,2024-10-01,,44,4108,Feature_C,2026-04-29,0,13838,118,256.38,High
6,RiftWorks,True,,free,2025-08-23,,14,559,Feature_C,2026-03-02,0,559,14,19.59,Low
8,Data Systems,True,,free,2024-04-24,,36,1629,Feature_B,2025-12-26,0,1629,36,52.29,Low
9,Iris Hub,True,,free,2025-06-15,,37,4359,Feature_C,2024-08-02,0,4359,37,80.59,Medium
10,GlowSystems,True,,professional,2025-03-08,,12,2074,Feature_C,2025-08-11,0,4505,26,71.05,Medium
10,GlowSystems,True,,professional,2025-03-08,,14,2431,Feature_A,2026-04-04,0,4505,26,71.05,Medium
11,Xenon Cloud,True,,starter,2024-06-29,,8,4557,Feature_A,2026-06-30,0,4557,8,53.57,Low
12,QuarkDev,True,,enterprise,2024-10-27,,18,697,Feature_C,2025-02-27,0,697,18,24.97,Low
13,Vertex Labs,False,2025-09-16 01:57:15,free,2025-07-16,2025-09-16,10,4828,Feature_C,2026-04-08,1,4828,10,58.28,Low
14,Keen Ventures,True,,free,2024-02-25,2025-01-03,3,1386,Feature_C,2024-02-13,0,4158,9,50.58,Low
14,Keen Ventures,True,,professional,2025-01-03,2025-05-17,3,1386,Feature_C,2024-02-13,0,4158,9,50.58,Low
14,Keen Ventures,True,,enterprise,2025-05-17,,3,1386,Feature_C,2024-02-13,0,4158,9,50.58,Low
15,DataLogic,True,,starter,2024-04-18,,42,761,Feature_A,2024-03-23,0,2653,89,115.53,Medium
15,DataLogic,True,,starter,2024-04-18,,47,1892,Feature_A,2026-06-18,0,2653,89,115.53,Medium
17,DriftCloud,True,,starter,2024-08-16,2024-12-16,18,3402,Feature_A,2024-09-24,0,10206,54,156.06,High
17,DriftCloud,True,,professional,2024-12-16,2025-04-02,18,3402,Feature_A,2024-09-24,0,10206,54,156.06,High
17,DriftCloud,True,,starter,2025-04-02,,18,3402,Feature_A,2024-09-24,0,10206,54,156.06,High
18,LinkIO,True,,professional,2025-06-01,,22,564,Feature_C,2024-10-17,0,564,22,27.64,Low
20,AcmeHQ,True,,enterprise,2025-06-19,,29,116,Feature_C,2024-11-08,0,116,29,30.16,Low
21,NexusStack,True,,professional,2023-04-20,,3,4116,Feature_C,2024-02-07,0,4116,3,44.16,Low
22,Onyx Analytics,True,,professional,2023-12-08,,29,814,Feature_A,2024-01-21,0,814,29,37.14,Low
23,KitePro,True,,enterprise,2025-05-04,2025-09-11,11,4683,Feature_C,2025-02-02,0,14772,114,261.72,High
23,KitePro,True,,enterprise,2025-05-04,2025-09-11,27,241,Feature_C,2026-07-05,0,14772,114,261.72,High
23,KitePro,True,,free,2025-09-11,2025-11-10,11,4683,Feature_C,2025-02-02,0,14772,114,261.72,High
23,KitePro,True,,free,2025-09-11,2025-11-10,27,241,Feature_C,2026-07-05,0,14772,114,261.72,High
23,KitePro,True,,starter,2025-11-10,,11,4683,Feature_C,2025-02-02,0,14772,114,261.72,High
23,KitePro,True,,starter,2025-11-10,,27,241,Feature_C,2026-07-05,0,14772,114,261.72,High
